subject,academic_year,standard_number,standard_version,weight_excellence,effective_credits
Home Economics,2019,91466,1,1.0,5
Home Economics,2019,91471,1,0.943292682926829,4
Home Economics,2019,91467,1,0.914876033057851,5
Home Economics,2019,91470,1,0.909090909090909,4
Home Economics,2019,91466,2,0.902061855670103,5
Home Economics,2019,91469,2,0.886057692307692,1
English,2019,91474,1,0.950963814677038,4
English,2019,91473,1,0.94224361347649,4
English,2019,91472,1,0.935533894550288,4
English,2019,91477,1,0.901586368977673,3
English,2019,91475,1,0.891982984293194,6
English,2019,91480,1,0.88890503523941,3
History of Art,2019,91488,1,1.0,4
History of Art,2019,91485,1,1.0,4
History of Art,2019,91484,1,0.942928039702233,4
History of Art,2019,91482,1,0.936247723132969,4
History of Art,2019,91483,1,0.927565392354125,4
History of Art,2019,91489,1,0.864963503649635,4
Media Studies,2019,91495,1,1.0,6
Media Studies,2019,91496,1,1.0,3
Media Studies,2019,91497,1,1.0,3
Media Studies,2019,91491,1,0.958333333333333,3
Media Studies,2019,91490,1,0.946017699115044,4
Media Studies,2019,91493,1,0.935332708528585,4
Media Studies,2019,91497,2,0.882891125343092,1
Physical Education,2019,91812,1,1.0,5
Physical Education,2019,91504,1,0.958333333333333,3
Physical Education,2019,91789,1,0.954545454545455,4
Physical Education,2019,91505,1,0.9375,4
Physical Education,2019,91500,1,0.928571428571429,4
Physical Education,2019,91789,2,0.920527859237537,4
Latin,2019,91507,1,0.792682926829268,5
Latin,2019,91506,1,0.785714285714286,6
Latin,2019,91508,1,0.74390243902439,6
Latin,2019,91509,1,0.666666666666667,4
Latin,2019,91511,1,0.607142857142857,3
Drama,2019,91512,1,1.0,4
Drama,2019,91513,1,1.0,5
Drama,2019,91518,1,0.942446043165468,4
Drama,2019,91514,1,0.933139534883721,4
Drama,2019,91519,1,0.868852459016394,5
Drama,2019,91513,2,0.847842401500938,2
Physics,2019,91522,1,1.0,3
Physics,2019,91527,1,1.0,3
Physics,2019,91523,1,0.942518118516413,4
Physics,2019,91526,1,0.917763767847209,6
Physics,2019,91524,1,0.908569940088565,6
Physics,2019,91525,1,0.907407407407408,2
Agriculture & Horticulture,2019,91531,1,0.930992736077482,4
Agriculture & Horticulture,2019,91532,1,0.92809364548495,5
Agriculture & Horticulture,2019,91530,1,0.914364640883978,5
Agriculture & Horticulture,2019,91528,1,0.894773039889959,4
Agriculture & Horticulture,2019,91529,1,0.894347240915209,6
Chinese,2019,91533,1,0.871832358674464,5
Chinese,2019,91536,1,0.870582617000955,5
Chinese,2019,91534,1,0.608510638297872,3
Chinese,2019,91535,1,0.57798833819242,6
Chinese,2019,91537,1,0.568471337579618,5
Cook Islands Maori,2019,91541,1,0.703389830508475,5
Cook Islands Maori,2019,91538,1,0.686440677966102,5
Cook Islands Maori,2019,91540,1,0.642857142857143,6
Cook Islands Maori,2019,91539,1,0.612068965517241,3
Cook Islands Maori,2019,91542,1,0.594827586206897,5
French,2019,91546,1,0.918330308529946,5
French,2019,91543,1,0.914370078740157,5
French,2019,91545,1,0.732233502538071,6
French,2019,91544,1,0.708121827411168,3
French,2019,91547,1,0.688539741219963,5
German,2019,91551,1,0.892,5
German,2019,91548,1,0.891732283464567,5
German,2019,91552,1,0.689956331877729,5
German,2019,91549,1,0.680272108843537,3
German,2019,91550,1,0.666666666666667,6
Japanese,2019,91553,1,0.898336414048059,5
Japanese,2019,91556,1,0.893058161350844,5
Japanese,2019,91557,1,0.721238938053097,5
Japanese,2019,91554,1,0.719873150105708,3
Japanese,2019,91555,1,0.702380952380952,6
Korean,2019,91561,1,0.798076923076923,5
Korean,2019,91558,1,0.769230769230769,5
Korean,2019,91562,1,0.59375,5
Korean,2019,91559,1,0.560606060606061,3
Korean,2019,91560,1,0.548387096774194,6
Spanish,2019,91571,1,0.938172043010753,5
Spanish,2019,91568,1,0.926666666666667,5
Spanish,2019,91569,1,0.75609756097561,3
Spanish,2019,91570,1,0.755681818181818,6
Spanish,2019,91572,1,0.724343675417661,5
Calculus,2019,91573,1,1.0,3
Calculus,2019,91576,1,0.942307692307692,2
Calculus,2019,91577,1,0.93736518997843,5
Calculus,2019,91578,1,0.934127079095369,6
Calculus,2019,91579,1,0.920655089651278,6
Calculus,2019,91576,2,0.919156922188538,2
Statistics,2019,91584,1,0.974122696288816,4
Statistics,2019,91580,1,0.95,4
Statistics,2019,91586,1,0.947191011235955,4
Statistics,2019,91582,1,0.941176470588235,4
