subject,academic_year,standard_number,standard_version,weight_excellence_raw,weight_excellence_sanitized,penalized_one,effective_credits
Physical Education,2018,91789,2,0.918458484948727,0.918458484948727,False,4
Physical Education,2018,91498,1,0.91,0.91,False,4
Physical Education,2018,91502,1,0.90625,0.90625,False,4
Physical Education,2018,91504,2,0.904003059663437,0.904003059663437,False,3
Physical Education,2018,91500,2,0.896949337207191,0.896949337207191,False,4
Latin,2018,91506,1,0.842857142857143,0.842857142857143,False,6
Latin,2018,91507,1,0.833333333333333,0.833333333333333,False,5
Latin,2018,91510,1,0.681818181818182,0.681818181818182,False,3
Latin,2018,91509,1,0.633333333333333,0.633333333333333,False,4
Latin,2018,91508,1,0.592592592592593,0.592592592592593,False,6
Drama,2018,91512,1,0.96,0.96,False,4
Drama,2018,91514,1,0.951408450704225,0.951408450704225,False,4
Drama,2018,91518,1,0.947482014388489,0.947482014388489,False,4
Drama,2018,91519,1,0.85207100591716,0.85207100591716,False,5
Drama,2018,91513,2,0.836022589753933,0.836022589753933,False,5
Drama,2018,91516,2,0.8328173374613,0.8328173374613,False,2
Physics,2018,91523,1,0.961270841538664,0.961270841538664,False,4
Physics,2018,91526,1,0.934085510688836,0.934085510688836,False,6
Physics,2018,91524,1,0.931607074691437,0.931607074691437,False,6
Physics,2018,91527,1,0.86590524534687,0.86590524534687,False,3
Physics,2018,91521,1,0.858695652173913,0.858695652173913,False,4
Physics,2018,91522,2,0.846219931271478,0.846219931271478,False,1
Agriculture & Horticulture,2018,91530,1,0.945945945945946,0.945945945945946,False,5
Agriculture & Horticulture,2018,91532,1,0.94408945686901,0.94408945686901,False,5
Agriculture & Horticulture,2018,91531,1,0.932748538011696,0.932748538011696,False,4
Agriculture & Horticulture,2018,91528,2,0.886970172684458,0.886970172684458,False,4
Agriculture & Horticulture,2018,91529,2,0.861721611721612,0.861721611721612,False,6
Chinese,2018,91536,1,0.864825581395349,0.864825581395349,False,5
Chinese,2018,91533,1,0.86003861003861,0.86003861003861,False,5
Chinese,2018,91534,1,0.599865047233468,0.599865047233468,False,3
Chinese,2018,91535,1,0.561965811965812,0.561965811965812,False,6
Chinese,2018,91537,1,0.559643255295429,0.559643255295429,False,5
Cook Islands Maori,2018,91541,1,0.741071428571429,0.741071428571429,False,5
Cook Islands Maori,2018,91538,1,0.723214285714286,0.723214285714286,False,5
Cook Islands Maori,2018,91539,1,0.65625,0.65625,False,3
Cook Islands Maori,2018,91540,1,0.650943396226415,0.650943396226415,False,6
Cook Islands Maori,2018,91542,1,0.620689655172414,0.620689655172414,False,5
French,2018,91543,1,0.915057915057915,0.915057915057915,False,5
French,2018,91546,1,0.911764705882353,0.911764705882353,False,5
French,2018,91545,1,0.738307349665924,0.738307349665924,False,6
French,2018,91544,1,0.719211822660099,0.719211822660099,False,3
French,2018,91547,1,0.704188481675393,0.704188481675393,False,5
German,2018,91548,1,0.902777777777778,0.902777777777778,False,5
German,2018,91551,1,0.882352941176471,0.882352941176471,False,5
German,2018,91552,1,0.694915254237288,0.694915254237288,False,5
German,2018,91550,1,0.673684210526316,0.673684210526316,False,6
German,2018,91549,1,0.645,0.645,False,3
Japanese,2018,91553,1,0.888790035587189,0.888790035587189,False,5
Japanese,2018,91556,1,0.885017421602788,0.885017421602788,False,5
Japanese,2018,91555,1,0.73542600896861,0.73542600896861,False,6
Japanese,2018,91554,1,0.720792079207921,0.720792079207921,False,3
Japanese,2018,91557,1,0.718995290423862,0.718995290423862,False,5
Korean,2018,91558,1,0.75,0.75,False,5
Korean,2018,91561,1,0.75,0.75,False,5
Korean,2018,91560,1,0.609375,0.609375,False,6
Korean,2018,91559,1,0.586206896551724,0.586206896551724,False,3
Korean,2018,91562,1,0.551724137931035,0.551724137931035,False,5
Samoan,2018,91566,1,0.956293706293707,0.956293706293707,False,5
Samoan,2018,91563,1,0.928571428571429,0.928571428571429,False,5
Samoan,2018,91567,1,0.836391437308869,0.836391437308869,False,5
Samoan,2018,91564,1,0.831683168316832,0.831683168316832,False,3
Samoan,2018,91565,1,0.831269349845201,0.831269349845201,False,6
Spanish,2018,91571,1,0.952764976958525,0.952764976958525,False,5
Spanish,2018,91568,1,0.925837320574163,0.925837320574163,False,5
Spanish,2018,91569,1,0.74,0.74,False,3
Spanish,2018,91572,1,0.738986784140969,0.738986784140969,False,5
Spanish,2018,91570,1,0.73134328358209,0.73134328358209,False,6
Calculus,2018,91573,1,0.945652173913044,0.945652173913044,False,3
Calculus,2018,91578,1,0.934182471103131,0.934182471103131,False,6
Calculus,2018,91579,1,0.933114880493447,0.933114880493447,False,6
Calculus,2018,91576,2,0.92282882315922,0.92282882315922,False,2
Calculus,2018,91577,1,0.911654697785757,0.911654697785757,False,5
Calculus,2018,91574,1,0.90625,0.90625,False,2
Statistics,2018,91580,1,0.982142857142857,0.982142857142857,False,4
Statistics,2018,91581,1,0.970588235294118,0.970588235294118,False,4
Statistics,2018,91584,1,0.966237942122187,0.966237942122187,False,4
Statistics,2018,91585,1,0.953456692019526,0.953456692019526,False,4
Statistics,2018,91586,1,0.94828805885682,0.94828805885682,False,4
Statistics,2018,91581,2,0.907064471879287,0.907064471879287,False,4
Dance,2018,91595,1,0.9453125,0.9453125,False,4
Dance,2018,91594,1,0.943025540275049,0.943025540275049,False,4
Dance,2018,91593,1,0.875,0.875,False,4
Dance,2018,91588,2,0.819958847736626,0.819958847736626,False,8
Dance,2018,91589,2,0.81,0.81,False,4
Social Studies,2018,91598,1,0.947368421052632,0.947368421052632,False,4
Social Studies,2018,91596,1,0.904761904761905,0.904761904761905,False,4
Social Studies,2018,91599,1,0.859536867763559,0.859536867763559,False,6
Social Studies,2018,91597,1,0.856236203090508,0.856236203090508,False,6
Social Studies,2018,91600,2,0.855436991869919,0.855436991869919,False,4
Biology,2018,91603,1,0.952778151486614,0.952778151486614,False,5
Biology,2018,91605,1,0.949608958407394,0.949608958407394,False,4
Biology,2018,91606,1,0.938172671970052,0.938172671970052,False,4
Biology,2018,91602,1,0.903225806451613,0.903225806451613,False,3
Biology,2018,91601,1,0.878378378378378,0.878378378378378,False,4
Biology,2018,91607,1,0.868421052631579,0.868421052631579,False,3
Technology/Hangarau,2018,91617,1,0.94839609483961,0.94839609483961,False,4
Technology/Hangarau,2018,91612,1,0.945530726256983,0.945530726256983,False,4
Technology/Hangarau,2018,91613,1,0.944852941176471,0.944852941176471,False,4
Technology/Hangarau,2018,91614,1,0.9375,0.9375,False,4
Technology/Hangarau,2018,91610,1,0.933333333333333,0.933333333333333,False,6
Technology/Hangarau,2018,91615,1,0.898989898989899,0.898989898989899,False,2
Construction and Mechanical Technologies,2018,91624,1,0.942307692307692,0.942307692307692,False,3
Construction and Mechanical Technologies,2018,91625,1,0.93421052631579,0.93421052631579,False,3
