standard,title,credits,assessment_type,subject
91426,Demonstrate understanding of how interacting natural processes shape a New Zealand geographic environment,4,External,Geography
91427,Demonstrate understanding of how a cultural process shapes geographic environment(s),4,External,Geography
91428,Analyse a significant contemporary event from a geographic perspective,3,Internal,Geography
91429,Demonstrate understanding of a given environment(s) through selection and application of geographic concepts and skills,4,External,Geography
91430,Conduct geographic research with consultation,5,Internal,Geography
91431,Analyse aspects of a contemporary geographic issue,3,Internal,Geography
91432,Analyse aspects of a geographic topic at a global scale,3,Internal,Geography
91433,"Apply spatial analysis, with consultation, to solve a geographic problem",3,Internal,Geography
91434,"Research an historical event or place of significance to New Zealanders, using primary and secondary sources",5,Internal,History
91435,"Analyse an historical event, or place, of significance to New Zealanders",5,Internal,History
91436,Analyse evidence relating to an historical event of significance to New Zealanders,4,External,History
91437,Analyse different perspectives of a contested event of significance to New Zealanders,5,Internal,History
91438,Analyse the causes and consequences of a significant historical event,6,External,History
91439,Analyse a significant historical trend and the force(s) that influenced it,6,External,History
91440,Analyse methods and ideas from established design practice,4,Internal,Visual Arts
91441,Analyse methods and ideas from established painting practice,4,Internal,Visual Arts
91442,Analyse methods and ideas from established photography practice,4,Internal,Visual Arts
91443,Analyse methods and ideas from established printmaking practice,4,Internal,Visual Arts
91444,Analyse methods and ideas from established sculpture practice,4,Internal,Visual Arts
91445,Use drawing to demonstrate understanding of conventions appropriate to design,4,Internal,Visual Arts
91446,Use drawing to demonstrate understanding of conventions appropriate to painting,4,Internal,Visual Arts
91447,Use drawing to demonstrate understanding of conventions appropriate to photography,4,Internal,Visual Arts
91448,Use drawing to demonstrate understanding of conventions appropriate to printmaking,4,Internal,Visual Arts
91449,Use drawing to demonstrate understanding of conventions appropriate to sculpture,4,Internal,Visual Arts
91450,Systematically clarify ideas using drawing informed by established design practice,4,Internal,Visual Arts
91451,Systematically clarify ideas using drawing informed by established painting practice,4,Internal,Visual Arts
91452,Systematically clarify ideas using drawing informed by established photography practice,4,Internal,Visual Arts
91453,Systematically clarify ideas using drawing informed by established printmaking practice,4,Internal,Visual Arts
91454,Systematically clarify ideas using drawing informed by established sculpture practice,4,Internal,Visual Arts
91455,Produce a systematic body of work that integrates conventions and regenerates ideas within design practice,14,External,Visual Arts
91456,Produce a systematic body of work that integrates conventions and regenerates ideas within painting practice,14,External,Visual Arts
91457,Produce a systematic body of work that integrates conventions and regenerates ideas within photography practice,14,External,Visual Arts
91458,Produce a systematic body of work that integrates conventions and regenerates ideas within printmaking practice,14,External,Visual Arts
91459,Produce a systematic body of work that integrates conventions and regenerates ideas within sculpture practice,14,External,Visual Arts
91460,Produce a resolved work that demonstrates purposeful control of skills appropriate to a visual arts cultural context,4,Internal,Visual Arts
91461,Analyse a New Zealand health issue,5,Internal,Health
91462,Analyse an international health issue,5,External,Health
91463,Evaluate health practices currently used in New Zealand,5,Internal,Health
91464,Analyse a contemporary ethical issue in relation to well-being,4,Internal,Health
91465,Evaluate models for health promotion,5,External,Health
91466,Investigate a nutritional issue affecting the well-being of New Zealand society,5,Internal,Home Economics
91467,Implement an action plan to address a nutritional issue affecting the well-being of New Zealand society,5,Internal,Home Economics
91468,Analyse a food related ethical dilemma for New Zealand society,5,Internal,Home Economics
91469,Investigate the influence of multinational food corporations on eating patterns in New Zealand,5,Internal,Home Economics
91470,Evaluate conflicting nutritional information relevant to well-being in New Zealand society,4,External,Home Economics
91471,Analyse the influences of food advertising on well-being,4,External,Home Economics
91472,"Respond critically to specified aspect(s) of studied written text(s), supported by evidence",4,External,English
91473,"Respond critically to specified aspect(s) of studied visual or oral text(s), supported by evidence",4,External,English
91474,"Respond critically to significant aspects of unfamiliar written texts through close reading, supported by evidence",4,External,English
91475,"Produce a selection of fluent and coherent writing which develops, sustains, and structures ideas",6,Internal,English
91476,"Create and deliver a fluent and coherent oral text which develops, sustains, and structures ideas",3,Internal,English
91477,"Create a fluent and coherent visual text which develops, sustains, and structures ideas using verbal and visual features",3,Internal,English
91478,"Respond critically to significant connections across texts, supported by evidence",4,Internal,English
91479,Develop an informed understanding of literature and/or language using critical texts,4,Internal,English
91480,"Respond critically to significant aspects of visual and/or oral text(s) through close reading, supported by evidence",3,Internal,English
91482,Demonstrate understanding of style in art works,4,External,Art History
91483,Examine how meanings are communicated through art works,4,External,Art History
91484,Examine the relationship(s) between art and context,4,External,Art History
91485,Examine the impact of media and processes on art works,4,Internal,Art History
91486,Construct an argument based on interpretation of research in art history,4,Internal,Art History
91487,Examine the different values placed on art works,4,Internal,Art History
91488,Examine the relationship(s) between a theory and art works,4,Internal,Art History
91489,Analyse texts about art,4,Internal,Art History
91490,Demonstrate understanding of an aspect of a media industry,4,External,Media Studies
91491,Demonstrate understanding of the meaning of a media text through different readings,3,Internal,Media Studies
91492,Demonstrate understanding of the media representation of an aspect of New Zealand culture or society,3,Internal,Media Studies
91493,Demonstrate understanding of a relationship between a media genre and society,4,External,Media Studies
91494,Produce a design for a media product that meets the requirements of a brief,4,Internal,Media Studies
91495,Produce a media product to meet the requirements of a brief,6,Internal,Media Studies
91496,Demonstrate understanding of a significant development in the media,3,Internal,Media Studies
91497,Write a media text to meet the requirements of a brief,3,Internal,Media Studies
91498,Evaluate physical activity experiences to devise strategies for lifelong well-being,4,Internal,Physical Education
91499,Analyse a physical skill performed by self or others,3,Internal,Physical Education
