"List of all adjusted percentile weightings by result (Not achieved, Achieved, Merit and Excellence) for Unit and Achievement standards by Academic Year (2025)",,,,,,
Academic Year,Standard Number,Standard Version ,Adjusted Not Achieved Percentile,Adjusted  Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2025,11827,6,0.05812650262860658,0.5555689031001547,0.9973655268775592,0.9999231264060111
2025,11831,7,0.1646864465884226,0.6646864465884226,1,1
2025,11831,8,0,0.5,1,1
2025,11831,9,0.01851158320044449,0.5185115832004445,1,1
2025,12009,7,0,0.5,1,1
2025,12356,6,0.09549684426117538,0.5954968442611754,1,1
2025,12356,7,0.01665115848777876,0.5166511584877788,1,1
2025,12356,8,0.04679554555987664,0.5467955455598766,1,1
2025,12395,4,0,0.5,1,1
2025,12997,5,0.001598469642566602,0.5015984696425666,1,1
2025,13002,4,0.002750626906656284,0.5022620419451198,0.9993904354669677,0.9998790204285043
2025,13008,4,0,0.5,1,1
2025,13009,4,0,0.5,1,1
2025,13010,5,0,0.5,1,1
2025,13015,4,0,0.5,1,1
2025,13016,4,0,0.5,1,1
2025,13016,5,0,0.5,1,1
2025,13016,6,0,0.5,1,1
2025,13053,4,0,0.5,1,1
2025,13053,5,0,0.5,1,1
2025,13053,6,0,0.5,1,1
2025,13059,4,0,0.5,1,1
2025,13282,6,0.03502438687355131,0.5350243868735514,1,1
2025,13288,6,0.02413075134062337,0.5241307513406234,1,1
2025,13293,6,0.01493798078059677,0.5149379807805967,1,1
2025,13300,6,0,0.5,1,1
2025,13304,7,0.002531352210095927,0.5025313522100959,1,1
2025,13310,6,0.0346923217780315,0.5346923217780315,1,1
2025,13314,7,0.03725239575553596,0.537252395755536,1,1
2025,13315,6,0.01716262056515511,0.5171626205651552,1,1
2025,13316,6,0.05382752579386052,0.5538275257938605,1,1
2025,13322,6,0.02872433964884269,0.5287243396488427,1,1
2025,13325,6,0.0457876253235191,0.5457876253235191,1,1
2025,13331,6,0.04534609508292631,0.5453460950829263,1,1
2025,13343,7,0.0737073878878256,0.5737073878878256,1,1
2025,13387,4,0,0.5,1,1
2025,13388,4,0,0.5,1,1
2025,14139,6,0,0.5,1,1
2025,14420,8,0.001605924111153012,0.4991839342144339,0.9965497373678482,0.9989717272645673
2025,14424,7,0,0.5,1,1
2025,14426,8,0,0.5,1,1
2025,14432,7,0,0.5,1,1
2025,14441,7,0.01042986760673531,0.5104298676067354,1,1
2025,14442,7,0,0.5,1,1
2025,14454,8,0,0.5,1,1
2025,14609,3,0,0.5,1,1
2025,14996,4,0,0.5,1,1
2025,14996,6,0,0.5,1,1
2025,14997,5,0.1476098626056192,0.6476098626056193,1,1
2025,14998,5,1.333874922445633E-4,0.5001333874922446,1,1
2025,14998,7,0.02472355142667082,0.5247235514266708,1,1
2025,15020,8,0,0.2123170593540025,0.5424622622244926,0.8301452028704901
2025,15158,6,0,0.5,1,1
2025,15299,7,0.01165557525451977,0.5116555752545198,1,1
2025,15310,7,0,0.5,1,1
2025,15446,4,0.0661009808746208,0.5661009808746208,1,1
2025,15757,5,0,0.5,1,1
2025,15844,7,0.003052990614190343,0.4882457084860233,0.97815109498924,0.9929583771174071
2025,15844,9,0.03876727632847604,0.523959994200309,0.97815109498924,0.9929583771174071
2025,15855,6,0,0.5,1,1
2025,15855,7,0,0.5,1,1
2025,16032,5,0,0.5,1,1
2025,16032,6,0,0.5,1,1
2025,16034,5,0,0.5,1,1
2025,16034,6,0,0.5,1,1
2025,16041,7,0.05169532093631402,0.551695320936314,1,1
2025,16042,6,0.04796487808392869,0.5479648780839287,1,1
2025,16049,6,0.08155426252575787,0.5815542625257579,1,1
2025,16051,6,0.1578947368421053,0.6578947368421053,1,1
2025,16052,5,0,0.5,1,1
2025,16052,6,0,0.5,1,1
2025,16053,6,0,0.5,1,1
2025,16056,6,0,0.5,1,1
2025,16059,6,0.05519341703203345,0.5551934170320334,1,1
2025,16136,10,0.0355150627137566,0.5355150627137566,1,1
2025,16139,7,0,0.5,1,1
2025,16139,8,0,0.5,1,1
